city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Goor,2022-05-20,7471 TM ,450000,Stocreve 44,https://mijn.makelaarsland.nl/woning-details/2771090,"Elektra, Water",,,"Ligbad, douche, toilet",1,1994.0,Bestaande bouw,In overleg,,,,"Bosch, Eigendom",Cv-ketel,Volledig geïsoleerd,,,,,,,140,"Aan rustige weg, In woonwijk",9,Op eigen terrein,Zadeldak bedekt met pannen,5,Beschikbaar,545,Cv-ketel
Roden,2022-05-20,9301 NM ,365000,Cederlaan 20,https://mijn.makelaarsland.nl/woning-details/2771089,TV kabel,,,"Douche, toilet",1,1973.0,Bestaande bouw,In overleg,45,,,,Cv-ketel,,,,,,,,179,,8,Openbaar parkeren,Zadeldak bedekt met pannen,6,Beschikbaar,625,Cv-ketel
Marsum,2022-05-20,9034 HH ,209500,Dr Poptastrjitte 14,https://mijn.makelaarsland.nl/woning-details/2771088,"TV kabel, Natuurlijke ventilatie",,Balkon aanwezig,2 douches,2,1965.0,Bestaande bouw,In overleg,,,,"Nefit Ecomline uit 2002, Eigendom",Cv-ketel,Dubbel glas,,,,,,,103,"Aan rustige weg, In woonwijk, Vrij uitzicht",2,Openbaar parkeren,Zadeldak bedekt met bitumineuze dakbedekking,5,Beschikbaar,400,Cv-ketel
Elst,2022-05-20,6662 HM ,539000,Appelgaard 10,https://mijn.makelaarsland.nl/woning-details/2771087,Elektra,,,"Ligbad, douche, toilet",1,1996.0,Bestaande bouw,In overleg,20,,,"Remeha uit 2021, Eigendom",Cv-ketel,Geen isolatie,,,,,,,147,"In woonwijk, Open ligging",,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,494,Cv-ketel
Amsterdam,2022-05-20,1064 SX ,435000,Krijn Breurstraat 41,https://mijn.makelaarsland.nl/woning-details/2771086,Voorzien van elektra,"Appartement, Portiekflat",Balkon aanwezig,Ligbad,1,1998.0,Bestaande bouw,In overleg,5,4e woonlaag,1,"HR 107 uit 2019, Eigendom",Cv-ketel,Geen isolatie,Ja,177,Ja,Ja,Ja,Ja,82,"Aan water, Aan rustige weg, In woonwijk, Aan vaarwater",,Op eigen terrein,Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,270,Cv-ketel
Mijdrecht,2022-05-20,3643 BK ,850000,Maansteen 34,https://mijn.makelaarsland.nl/woning-details/2771085,"TV kabel, Buitenzonwering, Schuifpui, Dakraam, Natuurlijke ventilatie",,,"Ligbad, douche, toilet",1,1988.0,Bestaande bouw,In overleg,,,,"Nefit Ecomline HR uit 2005, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",,,,,,,187,"Aan water, Aan rustige weg, In woonwijk, Vrij uitzicht",6,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,8,Beschikbaar,749,Cv-ketel
Westwoud,2022-05-20,1617 VL ,475000,Raadhuisstraat 4 B,https://mijn.makelaarsland.nl/woning-details/2771084,"Verwarming, Elektra, Water, Vliering",,,"Ligbad, 2 douches, toilet",1,1973.0,Bestaande bouw,In overleg,,,,"Intergas HR uit 2021, Eigendom",Cv-ketel,"Dakisolatie, Dubbel glas",,,,,,,152,"In centrum, In woonwijk",,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,5,Beschikbaar,628,Cv-ketel
Tiel,2022-05-20,4005 JA ,395000,Schullenhofstraat 98,https://mijn.makelaarsland.nl/woning-details/2771083,Mechanische ventilatie,,Dakterras aanwezig,"Ligbad, douche, toilet",1,2009.0,Bestaande bouw,In overleg,5,,,"HR107, Eigendom",Cv-ketel,"Dubbel glas, Volledig geïsoleerd",,,,,,,149,"Aan rustige weg, In woonwijk",35,Parkeergarage,Plat dak bedekt met bitumineuze dakbedekking,5,Beschikbaar,508,Cv-ketel
Spijk,2022-05-20,4211 CC ,775000,Mark 34,https://mijn.makelaarsland.nl/woning-details/2771082,"Alarminstallatie, Rolluiken, Buitenzonwering, Balansventilatie",,,"Ligbad, douche, toilet",1,2001.0,Bestaande bouw,In overleg,6,,,"HR Remeha uit 2021, Eigendom","Cv-ketel, Vloerverwarming gedeeltelijk, Gashaard",Volledig geïsoleerd,,,,,,,186,"In woonwijk, Vrij uitzicht, Landelijk gelegen",,Op eigen terrein,Zadeldak bedekt met pannen,7,Beschikbaar,756,Cv-ketel
Twisk,2022-05-20,1676 EA ,500000,Fostedina 14 A,https://mijn.makelaarsland.nl/woning-details/2771081,Elektra,,,"Ligbad, douche",1,2018.0,Bestaande bouw,In overleg,24,,,"Intergas uit 2018, Eigendom",Cv-ketel,Volledig geïsoleerd,,,,,,,147,"Aan park, Aan rustige weg, In woonwijk",,"Openbaar parkeren, Op eigen terrein",,5,Beschikbaar,578,Cv-ketel
